P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA	Col	BH	Col2
T488_Jobson_3088	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0460215	13.4258	0	0.0271662	175752	146550	133654	chocolate	0	black
T492_Jobson_3105	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0458241	12.8357	0	0.029007	176965	148273	135279	chocolate	0	black
T492_Jobson_3105	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0435437	12.4085	0	0.0244329	178225	148217	135848	chocolate	0	black
T492_Jobson_3105	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0422202	12.7574	0	0.0251714	176331	147443	135497	chocolate	0	black
T509_Jobson_3477	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0401496	12.3409	0	0.025418	176484	146888	135548	chocolate	0	black
T509_Jobson_3477	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0386727	11.852	0	0.0216783	177807	146896	135957	chocolate	0	black
T509_Jobson_3477	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0372567	11.6907	0	0.0221637	175955	146163	135663	chocolate	0	black
T512_Jobson_3493	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0452059	13.3044	0	0.0282467	176540	146663	133977	chocolate	0	black
T512_Jobson_3493	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0438249	12.3815	0	0.0243068	177892	146699	134381	chocolate	0	black
T512_Jobson_3493	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0431006	12.9893	0	0.0254206	176073	146000	133934	chocolate	0	black
T518_Jobson_3534	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0362044	12.1384	0	0.0231997	176806	147937	137599	chocolate	0	black
T518_Jobson_3534	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0351168	11.4168	0	0.0199121	178228	148044	137999	chocolate	0	black
T518_Jobson_3534	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0341588	11.2562	0	0.0206158	176405	147340	137607	chocolate	0	black
T519_Jobson_1901	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.060751	16.3439	0	0.0363894	174524	143652	127198	chocolate	0	black
T519_Jobson_1901	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0601282	16.1806	0	0.031909	175929	143742	127436	chocolate	0	black
T519_Jobson_1901	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.055951	14.4917	0	0.0316779	173892	142824	127688	chocolate	0	black
T520_Jobson_1910	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0383739	12.7561	0	0.0243216	177380	147002	136137	chocolate	0	black
T520_Jobson_1910	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0366515	13.0628	0	0.0206174	178667	146973	136580	chocolate	0	black
T520_Jobson_1910	Themeda_triandra_China_RJxSorengx5205	T134_Jobson_2280	0.0363304	11.8455	0	0.021674	176871	146297	136040	chocolate	0	black
T577_Murdock_1293	Themeda_triandra_China_RJxSorengx5205	T119_Jobson_1758	0.0585399	14.4288	0	0.0364806	177147	149216	132712	chocolate	0	black
T577_Murdock_1293	Themeda_triandra_China_RJxSorengx5205	T135_Jobson_2311	0.0572394	14.3137	0	0.0316684	178468	149221	133063	chocolate	0	black
